id_cliente,idade,renda_mensal,tempo_emprego_meses,score_externo,valor_emprestimo,numero_parcelas,utilizacao_limite,inadimplente,is_fraude
1,56,10053.864851747243,228,547,4260.54544069863,36,0.08674776780397409,0,0
2,69,3938.2624541593586,155,369,13806.321455823698,24,0.3370027913372585,1,0
3,46,4021.1211149635556,188,356,14292.425859597897,36,0.1290041750232589,1,0
4,32,7088.321754138144,271,681,14178.040125599851,48,0.5231301129062244,0,0
5,60,6363.782979252623,1,338,9110.940077683055,48,0.6330289054077425,1,0
6,25,8693.414651472067,245,742,500.0,36,0.5782886151734037,0,0
7,38,6167.856370651928,209,317,4857.375071604139,24,0.25924013539027013,1,0
8,56,4281.415818425881,285,651,5622.46077176419,48,0.9088240309687968,0,0
9,36,6181.309661384618,358,597,13143.84289545356,48,0.021172363735378452,0,0
10,40,7217.4071611658155,12,582,8213.14451791702,36,0.34801335376349296,0,0
11,28,6640.964362394729,95,885,18452.00254065209,36,0.718992475398061,0,0
12,28,6014.548062214595,220,409,17338.19168930379,36,0.7669289263491594,0,0
13,41,7133.349379178308,237,479,18368.492231104316,12,0.4161185444318599,0,0
14,70,7338.591180891346,93,843,5417.435031783891,12,0.01690981325636709,0,0
15,53,7764.317982075054,337,324,12454.456060707857,12,0.6180436791237374,1,0
16,57,6297.419775179285,268,356,7612.379555310652,36,0.0630946811832157,1,0
17,41,4665.763839366291,170,479,11639.359091166452,24,0.1078557761535145,0,0
18,20,5293.427372866646,93,531,5971.9312862802,48,0.65025071964619,0,0
19,39,7413.017933016714,148,642,16130.781837757277,12,0.3124883261428548,0,0
20,70,3366.128658025528,111,776,6065.342248980571,24,0.3480301527082529,0,0
21,19,5737.346617745802,54,875,500.0,36,0.48680707698324344,0,0
22,41,4213.3223753452785,336,754,20168.90407871581,12,0.9785783948593739,0,0
23,61,5057.489645869635,115,531,12212.483397839651,36,0.9654422207387104,0,0
24,47,7556.903725214597,142,588,4654.36617790936,24,0.4162609993600751,0,0
25,55,5382.198136039807,200,512,9188.644424654314,12,0.2654992172182822,0,0
26,19,5092.873096312298,179,557,7115.714526415579,12,0.30259215266411577,0,0
27,38,2280.2877180401615,201,829,10028.707234022198,12,0.2687812981616041,0,0
28,50,6492.507132054441,52,986,14013.904179574103,12,0.5322458071417807,0,0
29,29,6290.96836228215,179,528,13228.895464518153,24,0.6068598078009285,0,0
30,39,9326.50944661092,312,525,11268.64510254257,12,0.48877938822966605,0,0
31,61,4384.443530093999,307,895,10026.265566547545,48,0.40799436224815233,0,0
32,42,5438.300655327878,136,734,15393.353787640051,48,0.21128503756993777,0,0
33,66,5498.76736742151,181,701,500.0,36,0.48250559138211335,0,0
34,44,8154.906559526949,0,921,6255.3365336978095,12,0.34110271380245805,0,0
35,59,4809.408935226096,43,387,5106.685833719162,48,0.5415954627983429,0,0
36,45,5558.043051540679,226,883,15031.288865014456,48,0.6751894155116239,0,0
37,33,6215.793019433078,330,841,6304.536921607644,48,0.6333121744366106,0,0
38,32,5373.2182463127165,97,983,3570.2230385477587,24,0.46249021040559335,0,0
39,64,4107.132770898944,207,608,12746.637730584664,12,0.5560524242799609,0,0
40,68,5388.179985796615,264,642,5456.262095451373,24,0.2848561309607597,0,0
41,61,7147.263499719544,287,735,8246.367587458211,24,0.024240259022389687,0,0
42,72,2946.9694011778797,270,476,21905.719504408487,48,0.6250194541681041,0,0
43,69,5265.939348293752,139,438,13935.692770017366,48,0.25256855913768694,0,0
44,74,3599.7583701216536,236,493,8944.796962926626,36,0.6689537100682745,0,0
45,20,7390.093257849685,71,485,9394.359370279084,12,0.7470084995969594,0,0
46,54,1953.6261904324506,154,517,14537.437931107359,12,0.9159277461037811,1,0
47,68,3882.1563054568232,189,463,13314.352150523153,48,0.958122795479613,0,0
48,24,5754.423750129042,267,460,10377.997447254686,48,0.010526046309701442,0,0
49,38,8131.048058468681,320,824,10517.799711197122,12,0.9903742093546374,0,0
50,26,4868.499477854024,106,900,2600.7575978101404,36,0.683018318494161,0,0
51,56,3889.600946613603,231,341,1549.9472496553171,48,0.6435241603741892,1,0
52,35,8762.31413888118,41,509,9115.888621132477,36,0.015213095195355408,0,0
53,21,2103.972199167512,189,574,6833.5740732692775,24,0.8612334118867375,0,0
54,42,1412.0,138,578,12930.395171701817,48,0.14549144724782637,0,0
55,31,5880.028900106665,102,550,10985.89871902813,24,0.837330153933041,0,0
56,67,3995.891551294778,170,609,6136.128032528101,48,0.015562546258716003,0,0
57,26,2957.534365738574,350,439,10815.992297481787,24,0.6459642624991613,0,0
58,43,6416.712894598707,272,845,7908.836072225386,48,0.4348015337698278,0,0
59,70,5487.601427542398,220,829,20333.006890070144,36,0.20076672905933513,0,0
60,19,3871.842738526543,212,356,11931.211494814786,36,0.10756139177043411,1,0
61,37,2439.391202658211,340,411,2196.9650648353563,36,0.44012769654632644,0,0
62,45,6744.91465656029,55,304,19102.57550109791,24,0.12330580532142477,1,0
63,64,6300.402355917322,341,709,6834.254980213751,36,0.4864466116910475,0,0
64,24,4801.648272441234,101,713,5126.315046099154,24,0.6252170586528523,0,0
65,61,8693.273992095332,191,481,20718.433262717605,48,0.8273841936073582,0,0
66,25,2859.830467347695,309,312,11729.183288977818,24,0.6786494371828666,1,0
67,64,1948.9496581505223,199,638,13503.830036027426,48,0.06519976670615046,0,0
68,52,3616.183860237511,232,558,13665.300579360754,12,0.3074325325478372,0,0
69,31,4908.827967289004,226,389,8970.051418810983,12,0.2879786079325004,1,0
70,34,5486.678898645384,138,915,7137.973649068399,12,0.9150324234710843,0,0
71,53,4517.52788428734,343,997,7953.712725311299,24,0.8677820443927635,0,0
72,67,5704.110793028593,304,549,18044.33139622017,12,0.37014791835041694,0,0
73,57,2496.9211516191117,148,554,11018.937766034043,12,0.07115525588258109,1,0
74,21,7887.5292081465195,114,887,16564.575198580682,12,0.8941073178047334,0,0
75,19,4835.697643214862,62,407,9617.774363857508,48,0.8881899529641872,0,0
76,23,7234.591663176256,103,967,6223.082113281278,36,0.854746132030725,0,0
77,71,5685.450692755408,338,893,2788.9176306597283,24,0.8450816377355016,0,0
78,59,5913.506438307568,358,888,13240.0159257702,12,0.4802540010861547,0,0
79,21,6139.534560464408,155,784,18470.490392059866,48,0.17743165224959823,0,0
80,71,5895.41712003463,272,557,5570.134958767497,36,0.4774880504624277,0,0
81,46,6285.445519735088,5,938,12566.862843190102,36,0.49459777066946486,0,0
82,35,7658.305060264863,146,581,3121.9214215962465,36,0.4899317532448607,0,0
83,43,5393.04233940294,183,387,7221.516614690544,48,0.5387725861151161,0,0
84,61,6418.007515177024,27,503,11339.683926872736,12,0.2576570229911551,0,0
85,51,4820.528611425547,37,315,1358.5295716479886,36,0.36624118113361503,1,0
86,27,7880.234430898945,118,450,9909.883736353087,48,0.43418659196346954,0,0
87,53,3647.2153958814606,292,553,5816.497632914272,48,0.13112120951649986,0,0
88,31,8601.880865821631,243,487,13023.79612869137,24,0.4553641345615005,0,0
89,48,4919.684098711313,67,628,9172.996789232351,48,0.810469617069593,0,0
90,65,2138.4497957639037,213,843,14697.195097337915,36,0.8280595427328763,0,1
91,32,5256.208829821579,217,696,8602.008566275925,36,0.41156377190103033,0,0
92,25,3637.8966850502384,176,816,3188.1024008524537,48,0.5188083120843535,0,0
93,31,6681.287097977448,298,758,2565.199594818673,36,0.03365033213505664,0,0
94,40,3694.752041395218,163,629,500.0,48,0.6744325564685969,0,0
95,74,4107.633133570441,57,468,13164.789163049945,36,0.40460588294686306,0,0
96,57,1412.0,268,992,22788.654596344968,24,0.4454776830833458,0,1
97,38,4095.3873615018465,307,665,12176.190685925658,12,0.8736727271797647,0,0
98,33,1412.0,57,477,18360.234410021705,24,0.46183443456060835,1,0
99,62,1832.1943530285535,287,954,15667.866453945098,24,0.021192246227852762,0,1
100,35,6520.829312288595,104,661,7408.3199506295705,12,0.22749089086906238,0,0
101,64,6571.600317301664,227,938,16326.579904953127,36,0.47562061430825897,0,0
102,70,5850.915123569929,246,339,7607.126542437425,12,0.42439629274853574,1,0
103,41,3066.0477137415737,187,715,7706.460652308205,48,0.8603701372804806,0,0
104,43,4904.577287716041,82,654,8957.038370318449,12,0.5421375093061667,0,0
